,Time,Power
733,20180204_3,102.7840000000433
734,20180204_4,102.655999999959
735,20180204_5,100.1600000000326
736,20180204_6,101.4720000000088
737,20180204_7,105.9199999999837
738,20180204_8,101.3759999999893
739,20180204_9,107.039999999979
740,20180204_10,113.5360000000219
741,20180204_11,115.1680000000051
742,20180204_13,112.9919999999693
743,20180204_14,116.38400000002
744,20180204_15,130.8159999999916
745,20180204_16,146.4959999999846
746,20180204_17,148.4480000000331
747,20180204_18,154.8479999999981
748,20180204_19,163.3279999999795
749,20180204_20,150.5279999999912
750,20180204_21,151.1359999999986
751,20180204_22,150.2399999999907
752,20180204_23,142.2720000000554
753,20180205_0,141.2159999999567
754,20180205_2,115.7760000000126
755,20180205_3,116.064000000013
756,20180205_4,111.61599999998
757,20180205_5,114.4320000000298
758,20180205_6,107.679999999993
759,20180205_7,107.0079999999725
760,20180205_8,101.9839999999967
761,20180205_9,111.7440000000061
762,20180205_10,111.1359999999986
763,20180205_11,110.2079999999842
764,20180205_12,111.7440000000061
765,20180205_13,130.6240000000107
766,20180205_14,155.6479999999865
767,20180205_15,166.4960000000428
768,20180205_17,169.9839999999967
769,20180205_18,146.1440000000293
770,20180205_19,160.1919999999809
771,20180205_20,164.1280000000261
772,20180205_21,170.9439999999595
773,20180205_22,182.2080000000424
774,20180205_23,162.0799999999581
775,20180206_0,153.5040000000154
776,20180206_1,148.320000000007
777,20180206_3,127.935999999987
778,20180206_4,164.640000000014
779,20180206_5,192.9919999999693
780,20180206_6,187.6160000000382
781,20180206_7,189.7600000000093
782,20180206_8,204.6079999999492
783,20180206_9,227.9040000000386
784,20180206_10,261.4720000000088
785,20180206_11,272.0
786,20180206_12,268.8959999999497
787,20180206_13,271.3920000000508
788,20180206_14,289.3119999999763
789,20180206_16,306.6560000000172
790,20180206_17,290.0160000000033
791,20180206_18,233.9519999999902
792,20180206_19,307.4560000000056
793,20180206_20,269.8240000000224
794,20180206_21,260.7039999999688
795,20180206_22,254.5599999999977
796,20180206_23,229.4079999999958
797,20180207_0,163.2000000000116
798,20180207_1,149.6959999999963
799,20180207_2,143.2960000000312
800,20180207_3,197.0239999999758
801,20180207_4,196.640000000014
802,20180207_5,189.4400000000023
803,20180207_6,186.2399999999907
804,20180207_7,191.4239999999991
805,20180207_8,190.0480000000098
806,20180207_9,202.3360000000102
807,20180207_10,234.975999999966
808,20180207_11,239.679999999993
809,20180207_12,236.76800000004
810,20180207_13,257.7919999999576
811,20180207_14,259.3600000000442
812,20180207_15,257.4719999999506
813,20180207_16,280.8000000000466
814,20180207_17,229.3759999999893
815,20180207_18,178.975999999966
816,20180207_19,242.3040000000037
817,20180207_21,236.1280000000261
818,20180207_22,228.1919999999809
819,20180207_23,232.9280000000144
820,20180208_0,147.5839999999735
821,20180208_1,145.1199999999953
822,20180208_2,167.2320000000182
823,20180208_3,195.0719999999856
824,20180208_4,180.960000000021
825,20180208_5,186.1120000000228
826,20180208_6,179.5839999999735
827,20180208_7,190.8159999999916
828,20180208_8,190.6880000000237
829,20180208_10,257.1520000000019
830,20180208_11,267.2639999999665
831,20180208_12,277.3120000000345
832,20180208_13,261.3759999999893
833,20180208_14,256.2559999999939
834,20180208_16,234.2399999999907
835,20180208_17,200.8640000000014
836,20180208_18,161.0559999999823
837,20180208_19,251.7119999999995
838,20180208_21,273.4079999999958
839,20180208_22,272.7999999999884
840,20180208_23,251.2960000000312
841,20180209_0,144.1919999999809
842,20180209_1,135.3919999999925
843,20180209_2,126.4000000000233
844,20180209_3,122.2399999999907
845,20180209_5,210.1439999999711
846,20180209_6,205.6959999999963
847,20180209_7,205.0560000000405
848,20180209_8,204.9599999999627
849,20180209_9,215.2640000000247
850,20180209_10,230.0160000000033
851,20180209_11,269.2160000000149
852,20180209_12,246.4319999999716
853,20180209_13,226.9120000000112
854,20180209_14,235.8719999999739
855,20180209_15,245.2480000000214
856,20180209_16,239.1359999999986
857,20180209_17,193.7600000000093
858,20180209_18,139.8399999999674
859,20180209_19,237.024000000034
860,20180209_20,239.0719999999856
861,20180209_21,239.1680000000051
862,20180209_22,230.0800000000163
863,20180209_23,207.6479999999865
864,20180211_0,0.0
865,20180211_1,0.0
866,20180211_2,0.0
867,20180211_3,0.0
868,20180211_4,0.0
869,20180211_6,0.0
870,20180211_7,0.0
871,20180211_8,91.16800000000512
872,20180211_9,90.68799999996554
873,20180211_10,90.65600000001723
874,20180211_11,92.60800000000745
875,20180211_12,87.39199999999255
876,20180211_13,93.37599999998929
877,20180211_14,102.7839999999851
878,20180211_15,112.5440000000526
